1920x1200,1583,853
1440x900,1283,609
1280x800,1224,627
1440x900,1422,709
1680x1050,1663,935
1920x1080,1862,916
1920x1080,1280,679
1366x768,1349,624
1920x1080,1903,1019
1920x1200,1368,891
640x1136,320,181
1920x1080,1903,995
1280x1024,1263,899
1920x1080,1905,991
480x854,480,780
2560x1600,1265,578
1536x2048,768,928
1366x768,1349,664
1440x900,1264,738
1280x1024,1263,963
1920x1200,1840,1041
1920x1080,1903,995
1920x1080,1653,904
1920x1080,1903,955
1024x768,1008,663
1920x1080,1904,414
1837x910,767,530
1920x1080,1822,638
2560x1440,1589,1416
1920x1200,1245,1053
1920x1200,1840,1088
640x1136,320,460
1920x1080,1904,959
2560x1440,1414,1065
1600x900,1583,775
1920x1200,1840,1088
1366x768,1349,643
5760x1200,1895,1143
2560x1440,1371,1184
2560x1440,1591,1416
1280x800,1278,633
1920x1080,1903,979
1280x1024,1264,939
1366x768,1349,643
1366x768,1351,656
1920x1080,1903,979
2560x1440,1593,1416
1920x1080,1903,969
1366x768,1349,656
2560x1440,1595,1416
1280x800,1172,697
480x800,320,508
1366x768,1349,643
1366x768,1286,682
768x1024,1024,704
1366x768,1286,681
320x568,320,460
1280x1024,1263,923
1920x1080,1903,955
2560x1440,2545,1242
1680x1050,1665,1015
1920x1080,1905,959
1920x1080,1350,653
1920x1200,1903,1109
360x640,360,615
1920x1080,1400,741
600x360,1067,488
1366x768,1351,678
1366x768,1349,657
1680x1050,1663,912
1440x900,1375,783
1920x1080,1903,955
1366x768,1301,682
2880x1800,1440,736
1280x1024,1263,963
1920x1080,1328,852
1920x1080,1903,1019
2880x1800,1338,779
1920x1080,1905,967
1280x1024,1263,923
1280x1024,1263,913
1920x1200,1903,1072
1680x1050,1680,879
1440x900,1342,722
1366x768,1349,667
1920x1080,1903,979
2560x1440,1328,1256
1920x1080,1904,967
1366x768,1349,588
1600x1200,1583,1096
1280x1024,1264,917
3600x1080,1437,671
1680x1050,1663,870
1440x900,1340,669
1280x720,1280,506
1680x1050,1456,956
1920x1080,1903,976
1920x1080,1899,947
1440x900,522,263
1280x1024,1263,857
1280x1024,1263,857
1280x1024,1120,895
1920x1200,1903,1115
1536x2048,1024,692
1366x768,1349,643
2560x1440,1300,1067
1920x1200,1905,1088
2880x1800,1439,802
1680x1050,1223,841
1280x1024,981,487
2560x1440,1302,1045
1280x1024,1263,939
1680x1050,1223,841
2560x1600,1225,683
1280x800,1280,599
1920x1080,1526,857
1440x900,1440,835
1920x1080,1248,868
1920x1080,1426,927
1280x1024,1264,963
1920x1080,1904,932
2560x1440,1386,954
1680x1050,1665,1015
1600x900,1583,799
1440x900,1367,791
1440x900,1440,795
1920x1080,1327,730
1280x1024,1263,864
1680x1050,1680,955
1280x800,1280,635
1920x1080,1483,826
1366x768,1349,643
1920x1080,1861,963
1440x900,1440,710
1920x1200,706,811
1600x900,1536,787
2560x1384,1320,970
1440x900,1220,696
1366x768,1307,982
640x1136,320,548
640x1136,320,504
1050x1680,819,639
1440x900,1068,779
2560x1440,1265,1212
1024x768,1007,704
5760x1200,1895,1143
1280x1024,1265,928
1440x900,1440,828
1920x1080,1903,979
1280x800,1251,605
720x1280,360,615
1366x768,1349,677
1440x900,1440,805
1920x1080,1905,991
1366x768,1121,655
2560x1440,1063,1063
1440x900,1440,779
1280x1024,1264,953
1280x1024,1263,913
1920x1080,1903,979
1920x1080,1708,982
2560x1440,1063,1063
2560x1440,1150,1803
1829x1143,1829,1090
2880x1800,1223,512
1067x592,1067,592
1440x900,1025,783
2880x1800,1439,760
320x534,320,456
1366x768,745,341
1600x900,1583,790
1920x1080,1903,955
2560x1440,0,0
1440x900,1440,821
1366x768,1349,643
1366x768,1350,639
2560x1440,1405,1416
1920x1080,933,934
1920x1080,1920,928
1440x900,1009,783
1280x1024,1263,899
1024x768,1007,606
